name,date,open_value,high_value,low_value,close_value,adj_close,volume
Dow Jones,2017-09-21,22414.02,22419.51,22356.55,22359.23,22359.23,287390000.0
Dow Jones,2017-09-20,22351.38,22413.26,22314.68,22412.59,22412.59,334560000.0
Dow Jones,2017-09-19,22349.7,22386.01,22340.71,22370.8,22370.8,295570000.0
Dow Jones,2017-09-18,22297.92,22355.62,22283.35,22331.35,22331.35,302740000.0
Dow Jones,2017-09-15,22252.44,22275.02,22214.52,22268.34,22268.34,527540000.0
Dow Jones,2017-09-14,22144.96,22216.44,22135.26,22203.48,22203.48,297780000.0
Dow Jones,2017-09-13,22103.47,22158.18,22095.79,22158.18,22158.18,291890000.0
Dow Jones,2017-09-12,22090.56,22134.57,22087.09,22118.86,22118.86,364580000.0
Dow Jones,2017-09-11,21927.79,22067.1,21927.79,22057.37,22057.37,312770000.0
Dow Jones,2017-09-08,21764.43,21846.63,21731.12,21797.79,21797.79,289400000.0
Dow Jones,2017-09-07,21820.38,21850.01,21745.71,21784.78,21784.78,333810000.0
Dow Jones,2017-09-06,21815.76,21849.24,21794.07,21807.64,21807.64,318760000.0
Dow Jones,2017-09-05,21912.37,21921.09,21709.63,21753.31,21753.31,332840000.0
Dow Jones,2017-09-01,21981.77,22038.97,21974.91,21987.56,21987.56,256240000.0
Dow Jones,2017-08-31,21936.01,21985.76,21910.5,21948.1,21948.1,376790000.0
Dow Jones,2017-08-30,21859.76,21914.26,21839.47,21892.43,21892.43,242840000.0
Dow Jones,2017-08-29,21718.0,21879.22,21673.58,21865.37,21865.37,227340000.0
Dow Jones,2017-08-28,21832.5,21861.49,21767.94,21808.4,21808.4,218740000.0
Dow Jones,2017-08-25,21819.08,21906.86,21812.81,21813.67,21813.67,217570000.0
Dow Jones,2017-08-24,21839.9,21870.11,21765.82,21783.4,21783.4,228480000.0
Dow Jones,2017-08-23,21850.27,21866.66,21808.39,21812.09,21812.09,234810000.0
Dow Jones,2017-08-22,21739.78,21912.83,21738.13,21899.89,21899.89,244980000.0
Dow Jones,2017-08-21,21671.36,21718.74,21600.34,21703.75,21703.75,277880000.0
Dow Jones,2017-08-18,21724.88,21793.35,21641.63,21674.51,21674.51,309070000.0
Dow Jones,2017-08-17,21984.74,21984.74,21750.32,21750.73,21750.73,311030000.0
Dow Jones,2017-08-16,22031.93,22085.71,22002.47,22024.87,22024.87,264920000.0
Dow Jones,2017-08-15,22029.91,22038.92,21971.48,21998.99,21998.99,269070000.0
Dow Jones,2017-08-14,21945.64,22019.23,21945.64,21993.71,21993.71,235030000.0
Dow Jones,2017-08-11,21883.32,21911.09,21842.74,21858.32,21858.32,237790000.0
Dow Jones,2017-08-10,21988.2,21988.2,21843.94,21844.01,21844.01,303310000.0
Dow Jones,2017-08-09,22022.34,22057.19,21996.69,22048.7,22048.7,277800000.0
Dow Jones,2017-08-08,22095.14,22179.11,22057.29,22085.34,22085.34,262000000.0
Dow Jones,2017-08-07,22100.2,22121.15,22081.97,22118.42,22118.42,213010000.0
Dow Jones,2017-08-04,22058.39,22092.81,22024.64,22092.81,22092.81,253640000.0
Dow Jones,2017-08-03,22007.58,22044.85,21991.32,22026.1,22026.1,278730000.0
Dow Jones,2017-08-02,22004.36,22036.1,21967.46,22016.24,22016.24,336820000.0
Dow Jones,2017-08-01,21961.42,21990.96,21940.81,21963.92,21963.92,328410000.0
